Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
241,0.234710744,0.156198347,0.030578512,0.026446281,0.123140496,0.114214876
242,0.232921811,0.158847737,0.030452675,0.026337449,0.125925926,0.114897119
243,0.235245902,0.158196721,0.030327869,0.026229508,0.125409836,0.115081967
244,0.23755102,0.156734694,0.030204082,0.026122449,0.124897959,0.115102041
245,0.239837398,0.156097561,0.030081301,0.02601626,0.124390244,0.115284553
246,0.23805668,0.158704453,0.029959514,0.025910931,0.127125506,0.115951417
247,0.236290323,0.158064516,0.02983871,0.025806452,0.126612903,0.115322581
248,0.238554217,0.16064257,0.029718876,0.025702811,0.126104418,0.116144578
249,0.2368,0.16,0.0296,0.0256,0.1256,0.11552
250,0.235059761,0.158565737,0.029482072,0.025498008,0.125099602,0.114741036
251,0.233333333,0.157936508,0.029365079,0.024603175,0.127777778,0.114603175
252,0.235573123,0.160474308,0.029249012,0.024505929,0.126482213,0.115256917
253,0.237795276,0.15984252,0.029133858,0.024409449,0.129133858,0.116062992
254,0.24,0.162352941,0.029019608,0.024313725,0.128627451,0.116862745
255,0.23828125,0.16171875,0.02890625,0.02421875,0.128125,0.11625
256,0.240466926,0.164202335,0.028793774,0.024124514,0.127626459,0.117042802
257,0.23875969,0.163565891,0.028682171,0.024031008,0.127131783,0.116434109
258,0.240926641,0.162162162,0.028571429,0.023938224,0.126640927,0.116447876
259,0.243076923,0.161538462,0.028461538,0.023846154,0.125384615,0.116461538
260,0.24137931,0.160153257,0.02835249,0.023754789,0.124137931,0.115555556
261,0.239694656,0.159541985,0.028244275,0.023664122,0.122900763,0.11480916
262,0.238022814,0.161977186,0.028136882,0.023574144,0.12243346,0.114828897
263,0.240151515,0.161363636,0.028030303,0.023484848,0.121969697,0.115
264,0.242264151,0.163773585,0.027924528,0.023396226,0.121509434,0.115773585
265,0.240601504,0.163157895,0.027819549,0.023308271,0.121052632,0.11518797
266,0.242696629,0.165543071,0.027715356,0.023220974,0.119850187,0.115805243
267,0.244776119,0.164925373,0.02761194,0.023134328,0.118656716,0.115820896
268,0.246840149,0.167286245,0.027509294,0.023048327,0.118215613,0.116579926
269,0.245185185,0.166666667,0.027407407,0.022962963,0.117777778,0.116
270,0.247232472,0.165313653,0.027306273,0.022878229,0.120295203,0.116605166
271,0.245588235,0.164705882,0.027205882,0.022794118,0.119852941,0.116029412
272,0.247619048,0.163369963,0.027106227,0.022710623,0.119413919,0.116043956
273,0.249635036,0.162773723,0.027007299,0.022627737,0.118978102,0.11620438
274,0.251636364,0.161454545,0.026909091,0.025454545,0.118545455,0.1168
275,0.25,0.160869565,0.026811594,0.025362319,0.118115942,0.116231884
276,0.25198556,0.159566787,0.026714801,0.025270758,0.120577617,0.116823105
277,0.253956835,0.158992806,0.026618705,0.025179856,0.120143885,0.116978417
278,0.252329749,0.157706093,0.026523297,0.027956989,0.122580645,0.117419355
279,0.254285714,0.157142857,0.026428571,0.027857143,0.122142857,0.117571429
280,0.256227758,0.155871886,0.02633452,0.027758007,0.120996441,0.117437722
281,0.258156028,0.155319149,0.026241135,0.027659574,0.119858156,0.117446809
282,0.256537102,0.154063604,0.02614841,0.027561837,0.119434629,0.116749117
283,0.254929577,0.153521127,0.026056338,0.027464789,0.119014085,0.116197183
284,0.253333333,0.152280702,0.025964912,0.027368421,0.121403509,0.116070175
285,0.251748252,0.151748252,0.025874126,0.027272727,0.120979021,0.115524476
286,0.250174216,0.154006969,0.025783972,0.0271777,0.120557491,0.11554007
287,0.252083333,0.153472222,0.025694444,0.027083333,0.120138889,0.115694444
288,0.253979239,0.155709343,0.025605536,0.026989619,0.119723183,0.116401384
289,0.252413793,0.155172414,0.025517241,0.026896552,0.122068966,0.116413793
290,0.254295533,0.157388316,0.025429553,0.026804124,0.121649485,0.117113402
291,0.252739726,0.156849315,0.025342466,0.026712329,0.121232877,0.116575342
292,0.254607509,0.159044369,0.025255973,0.02662116,0.123549488,0.1178157
293,0.256462585,0.158503401,0.025170068,0.026530612,0.123129252,0.117959184
