Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
360,0.005540166,0,0.132963989,0.099722992,0.199445983,0.087534626
361,0.005524862,0,0.132596685,0.099447514,0.198895028,0.087292818
362,0.005509642,0,0.132231405,0.099173554,0.198347107,0.087052342
363,0.005494505,0,0.131868132,0.098901099,0.197802198,0.086813187
364,0.005479452,0,0.131506849,0.098630137,0.197260274,0.086575342
365,0.005464481,0,0.131147541,0.098360656,0.196721311,0.086338798
366,0.005449591,0,0.130790191,0.098092643,0.196185286,0.086103542
367,0.005434783,0,0.130434783,0.097826087,0.195652174,0.085869565
368,0.005420054,0,0.130081301,0.097560976,0.195121951,0.085636856
369,0.005405405,0,0.12972973,0.102702703,0.194594595,0.086486486
370,0.005390836,0,0.129380054,0.102425876,0.194070081,0.086253369
371,0.005376344,0,0.129032258,0.102150538,0.193548387,0.086021505
372,0.00536193,0,0.128686327,0.101876676,0.193029491,0.085790885
373,0.005347594,0,0.128342246,0.101604278,0.192513369,0.085561497
374,0.005333333,0,0.128,0.101333333,0.192,0.085333333
375,0.005319149,0,0.127659574,0.10106383,0.191489362,0.085106383
376,0.00530504,0,0.127320955,0.100795756,0.190981432,0.084880637
377,0.005291005,0,0.126984127,0.100529101,0.19047619,0.084656085
378,0.005277045,0,0.126649077,0.100263852,0.189973615,0.084432718
379,0.005263158,0,0.126315789,0.105263158,0.189473684,0.085263158
380,0.005249344,0,0.125984252,0.104986877,0.188976378,0.08503937
381,0.005235602,0,0.12565445,0.104712042,0.188481675,0.084816754
382,0.005221932,0,0.125326371,0.104438642,0.187989556,0.0845953
383,0.005208333,0,0.125,0.104166667,0.1875,0.084375
384,0.005194805,0,0.124675325,0.103896104,0.187012987,0.084155844
385,0.005181347,0,0.124352332,0.103626943,0.186528497,0.083937824
386,0.005167959,0,0.124031008,0.108527132,0.186046512,0.084754522
387,0.005154639,0,0.12371134,0.108247423,0.18556701,0.084536082
388,0.005141388,0,0.123393316,0.107969152,0.185089974,0.084318766
389,0.005128205,0,0.123076923,0.112820513,0.184615385,0.085128205
390,0.00511509,0,0.122762148,0.112531969,0.189258312,0.085933504
391,0.005102041,0,0.12244898,0.112244898,0.18877551,0.085714286
392,0.005089059,0,0.122137405,0.111959288,0.188295165,0.085496183
393,0.005076142,0,0.121827411,0.111675127,0.187817259,0.085279188
394,0.005063291,0,0.121518987,0.111392405,0.187341772,0.085063291
395,0.005050505,0,0.121212121,0.111111111,0.186868687,0.084848485
396,0.005037783,0,0.120906801,0.110831234,0.186397985,0.084634761
397,0.005025126,0,0.120603015,0.110552764,0.185929648,0.084422111
398,0.005012531,0,0.120300752,0.110275689,0.185463659,0.084210526
399,0.005,0,0.12,0.11,0.185,0.084
400,0.004987531,0,0.119700748,0.109725686,0.184538653,0.083790524
401,0.004975124,0,0.119402985,0.109452736,0.184079602,0.08358209
402,0.004962779,0,0.1191067,0.109181141,0.183622829,0.08337469
403,0.004950495,0,0.118811881,0.108910891,0.183168317,0.083168317
404,0.004938272,0,0.118518519,0.108641975,0.182716049,0.082962963
405,0.004926108,0,0.118226601,0.108374384,0.18226601,0.082758621
406,0.004914005,0,0.117936118,0.108108108,0.181818182,0.082555283
407,0.004901961,0,0.117647059,0.107843137,0.181372549,0.082352941
408,0.004889976,0,0.117359413,0.107579462,0.180929095,0.082151589
409,0.004878049,0,0.117073171,0.107317073,0.180487805,0.08195122
410,0.00486618,0,0.116788321,0.107055961,0.180048662,0.081751825
411,0.004854369,0,0.116504854,0.106796117,0.17961165,0.081553398
