Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
300,1.212238038,4.154091699,0.718788872,0.521446659,1.43354288,1.608021629
301,1.214855554,4.155146759,0.717217439,0.520019666,1.428248618,1.607097607
302,1.219942588,4.158234724,0.715059779,0.518679516,1.424727781,1.607328878
303,1.217746408,4.158189144,0.712308401,0.517423005,1.419093819,1.604952155
304,1.218036632,4.141153918,0.711022449,0.532361311,1.41379768,1.603274398
305,1.219105648,4.141128262,0.70888005,0.557127246,1.41180701,1.607609643
306,1.217523014,4.141922875,0.707393494,0.555192193,1.407070143,1.605820344
307,1.220709536,4.142002248,0.705076033,0.553134118,1.400777017,1.60433979
308,1.221213589,4.148819387,0.703015968,0.550829143,1.398353696,1.604446357
309,1.225224834,4.13449464,0.700423252,0.549994378,1.391428562,1.600313133
310,1.228309756,4.136377161,0.698183233,0.548413749,1.388181843,1.599893148
311,1.226874515,4.13674066,0.695691048,0.546417759,1.383963256,1.597937447
312,1.227452198,4.143508849,0.693680608,0.544490381,1.380024835,1.597831374
313,1.224578564,4.14701094,0.691807485,0.543191603,1.374157083,1.596149135
314,1.224287537,4.141077558,0.689320441,0.54142243,1.368218544,1.592865302
315,1.222685232,4.147300542,0.687045198,0.540148346,1.364886298,1.592413123
316,1.223187289,4.146954011,0.685288172,0.538203232,1.361935379,1.591113617
317,1.218496815,4.14800787,0.683162353,0.536162453,1.35627967,1.588421832
318,1.217154135,4.155566876,0.681370288,0.535100426,1.352585843,1.588355513
319,1.218410176,4.137398231,0.679887957,0.533199864,1.346358218,1.583050889
320,1.216305615,4.143561121,0.677854408,0.531310197,1.342421269,1.582290522
321,1.217500304,4.146360356,0.676131792,0.539217376,1.336430977,1.583128161
322,1.218021565,4.152782094,0.674280106,0.537607649,1.328462681,1.582230819
323,1.214509706,4.152438078,0.673357944,0.536205209,1.325713971,1.580444982
324,1.215831536,4.133618079,0.671113879,0.534687813,1.322549283,1.575560118
325,1.211294795,4.133191841,0.668108069,0.532058156,1.317256252,1.572381823
326,1.210747241,4.138561679,0.665525076,0.530188516,1.312642503,1.571533003
327,1.211842835,4.142212908,0.663418281,0.528194994,1.310192296,1.571172263
